Date,Lat,Long,Mag
2/10/2008,-60.797,-25.586,6.6
1/1/2009,-34.84,-107.647,5.8
1/1/2009,-4.332,101.298,5.5
1/2/2009,0.624,-26.661,5.6
1/2/2009,0.791,-27.118,5.5
1/3/2009,-0.414,132.885,7.7
1/3/2009,-0.589,133.363,5.6
1/3/2009,36.419,70.743,6.6
1/3/2009,-0.325,132.885,5.6
1/3/2009,-0.691,133.305,7.4
1/4/2009,-0.694,133.275,5.5
1/4/2009,-0.669,133.194,5.7
1/4/2009,-0.395,132.757,5.9
1/4/2009,36.442,70.883,5.7
1/5/2009,23.808,-108.757,5.5
1/6/2009,-0.659,133.434,6
1/7/2009,-20.707,-179.224,5.6
1/8/2009,-0.411,132.934,5.5
1/8/2009,10.165,-84.197,6.1
1/9/2009,10.437,56.962,5.7
1/13/2009,-13.147,66.078,6
1/15/2009,-22.352,170.635,6.7
1/15/2009,-22.54,170.43,5.6
1/15/2009,-10.334,161.211,5.7
1/15/2009,46.857,155.154,7.4
1/16/2009,-22.304,170.274,5.8
1/17/2009,15.739,-92.744,5.8
1/18/2009,-30.199,-177.951,6.4
1/19/2009,-22.596,170.911,6.6
1/19/2009,-22.477,170.806,6
1/19/2009,-22.792,170.74,5.6
1/20/2009,-4.667,129.814,5.5
1/21/2009,-22.689,171.043,6.1
1/22/2009,-5.912,148.511,6.1
1/22/2009,-7.307,128.568,6.1
1/24/2009,-28.25,-176.697,5.9
1/24/2009,-19.584,-179.112,5.6
1/24/2009,59.43,-152.887,5.8
1/26/2009,-17.796,-178.591,5.8
1/26/2009,51.955,-171.159,5.8
1/26/2009,-0.352,98.184,5.7
1/27/2009,-17.837,-178.677,5.9
1/27/2009,55.536,164.298,5.5
1/28/2009,-0.262,98.28,5.7
1/28/2009,-8.936,124.157,5.7
1/28/2009,-16.973,-172.068,5.5
1/29/2009,-8.108,-71.402,5.6
1/30/2009,-15.385,-174.473,5.7
1/31/2009,-19.41,-69.065,5.5
1/31/2009,36.719,141.148,5.7
2/2/2009,-13.582,-76.558,6
1/2/2010,12.424,141.949,6.1
1/3/2010,-5.297,145.859,5.8
1/3/2010,-8.802,-77.718,5.7
1/3/2010,-8.726,157.487,6.6
1/3/2010,-8.783,157.354,7.1
1/4/2010,-8.917,157.606,5.6
1/4/2010,-8.375,157.087,5.8
1/5/2010,-58.173,-14.695,6.8
1/5/2010,-9.019,157.551,6.8
1/5/2010,-9.05,157.892,6
1/5/2010,-8.89,158.032,5.7
1/6/2010,-49.789,164.192,5.7
1/6/2010,-41.605,-16.568,5.6
1/6/2010,-4.405,151.746,5.6
1/7/2010,-53.516,159.28,5.6
1/9/2010,-9.131,157.626,6.2
1/10/2010,40.652,-124.6925,6.5
1/12/2010,-5.417,133.731,5.5
1/12/2010,18.443,-72.571,7
1/12/2010,18.387,-72.784,6
1/12/2010,18.452,-72.513,5.7
1/13/2010,18.42,-72.861,5.6
1/13/2010,18.404,-72.826,5.6
1/13/2010,18.367,-72.903,5.8
1/13/2010,-15.656,-174.799,5.5
1/13/2010,-0.687,133.33,5.8
1/14/2010,11.51,142.082,5.8
1/14/2010,-11.964,166.264,5.5
1/15/2010,-31.728,-177.612,5.9
1/15/2010,26.746,126.285,5.7
1/15/2010,10.454,-63.475,5.6
1/16/2010,51.711,177.706,5.5
1/17/2010,37.938,143.599,5.6
1/17/2010,-6.122,152.587,5.7
1/17/2010,-57.664,-65.879,6.3
1/18/2010,46.482,153.262,5.6
1/18/2010,13.728,-90.132,5.9
1/18/2010,38.404,21.961,5.5
1/18/2010,-12.484,166.293,5.7
1/19/2010,-8.997,158.071,5.6
1/19/2010,19.004,-80.804,5.9
1/20/2010,18.423,-72.823,5.9
1/21/2010,13.551,125.46,5.5
1/21/2010,8.268,-110.357,5.6
1/24/2010,-8.205,129.029,5.5
1/24/2010,-9.18,157.756,5.5
1/24/2010,-18.513,167.897,5.6
1/25/2010,30.964,130.888,5.5
1/25/2010,-18.599,-173.696,5.6
1/25/2010,-8.498,-74.466,5.9
1/1/2011,-26.803,-63.136,7
1/2/2011,-4.458,101.428,5.7
1/2/2011,-38.355,-73.326,7.2
1/3/2011,-59.791,149.897,5.6
1/5/2011,31.545,142.177,5.6
