Date,Lat,Long,Mag
3/29/1966,23.869,142.248,6
3/29/1966,37.464,115.127,6
1/1/1967,-15.237,-173.608,6.5
1/1/1967,-11.2,165.416,5.9
1/2/1967,-10.187,28.424,5.6
1/2/1967,-12.347,166.221,6
1/3/1967,-11.093,165.668,6.1
1/3/1967,-11.112,165.536,5.6
1/3/1967,-12.376,166.473,5.8
1/4/1967,20.318,120.114,5.6
1/4/1967,10.881,-62.33,5.5
1/5/1967,48.168,103.036,7
1/5/1967,48.477,103.021,5.8
1/5/1967,48.04,103.013,5.9
1/6/1967,41.878,143.482,5.9
1/6/1967,-1.461,126.477,5.6
1/7/1967,-48.873,112.803,6
1/7/1967,11.854,142.866,5.7
1/11/1967,-0.149,120.033,5.7
1/11/1967,33.989,45.738,6.1
1/13/1967,-10.515,161.406,6.2
1/16/1967,-11.248,165.623,6
1/17/1967,-27.335,-63.204,6.2
1/17/1967,38.244,142.152,6.6
1/18/1967,56.564,120.947,5.5
1/18/1967,52.565,-168.501,5.9
1/19/1967,-11.903,166.494,5.9
1/20/1967,48.105,103.064,6.4
1/21/1967,-49.917,-114.881,6.3
1/23/1967,19.973,-109.129,6
1/24/1967,41.5,142.2,5.7
1/24/1967,-0.922,-21.081,6.5
1/25/1967,36.715,71.625,6
1/28/1967,52.45,-169.603,6.8
1/28/1967,52.288,-169.353,5.6
1/28/1967,52.242,-169.468,5.8
1/30/1967,26.107,96.115,5.6
1/31/1967,2.619,-84.363,5.6
2/2/1967,-57.94,-25.663,6.1
2/3/1967,-5.542,110.478,5.6
2/7/1967,56.521,-157.326,5.7
2/9/1967,2.849,-74.798,7
2/13/1967,52.812,-34.14,7
2/14/1967,13.555,96.463,6.8
2/14/1967,-13.303,171.408,5.8
2/15/1967,-9.163,-71.274,7
2/17/1967,-23.878,-175.078,6.5
2/18/1967,-5.873,153.267,5.6
2/19/1967,-8.965,113.017,6.3
2/19/1967,-0.072,124.213,5.9
2/20/1967,33.617,75.333,5.5
2/22/1967,-19.516,169.216,5.8
2/23/1967,26.184,128.611,6
2/25/1967,-0.077,123.947,5.9
2/25/1967,-0.114,123.969,5.9
2/28/1967,32.608,141.649,6
3/2/1967,-0.214,-78.595,6
3/4/1967,21.398,121.823,5.7
3/4/1967,-18.558,-175.286,5.7
3/4/1967,39.1,24.684,6.6
3/9/1967,-10.617,166.198,5.9
3/9/1967,-10.622,166.333,5.9
3/11/1967,-10.821,166.388,5.9
3/11/1967,19.263,-95.801,5.9
3/13/1967,-40.17,-74.722,5.7
3/13/1967,19.581,38.874,5.6
3/14/1967,28.463,94.248,5.7
3/17/1967,-3.575,150.909,6.2
3/18/1967,-6.075,146.354,5.7
3/19/1967,-6.727,129.744,6.2
3/19/1967,45.527,151.188,6.7
3/20/1967,45.672,151.301,5.8
3/20/1967,45.438,151.511,5.7
3/24/1967,-5.972,112.225,6.7
3/25/1967,45.201,151.551,5.9
3/26/1967,-9.182,148.623,5.7
